QUESTIONS;A;B;C;ANSWER
What is the capital city of Australia?;Sydney;Canberra;Melbourne;B
"Who wrote the famous play ""Romeo and Juliet""?";William Shakespeare; Charles Dickens;Jane Austen;A
Which planet is known as the Red Planet?;Venus;Mars;Jupiter;B
Who painted the Mona Lisa?;Michelangelo;Leonardo da Vinci;Pablo Picasso;B
What is the chemical symbol for water?;O2;H2O;CO2;B
Which mammal can fly?;Bat;Cat;Rat;A
What is the largest mammal in the world?;Blue Whale;Elephant;Giraffe;A
Who wrote the Harry Potter book series?;J.R.R. Tolkien;J.K. Rowling;Stephenie Meyer;B
What is the capital city of France?;London;Paris;Berlin;B
Which gas do plants absorb during photosynthesis?;Oxygen;Nitrogen;Carbon dioxide;C
Who was the first man to step on the moon?;Neil Armstrong;Buzz Aldrin;Yuri Gagarin;A
Which of these elements is a noble gas?;Oxygen;Nitrogen;Argon;C
Who discovered penicillin?;Alexander Fleming;Louis Pasteur;Jonas Salk;A
In which year did World War I begin?;1914;1918;1920;A
Who was the first emperor of Rome?;Julius Caesar;Augustus;Nero;B
What is the chemical formula for table salt?;NaCl;H2O;CO2;A
Which planet in our solar system has the most moons?;Jupiter;Saturn;Neptune;A
What is the national flower of Japan?;Lotus;Sakura (Cherry Blossom);Lily;B
Who was the first woman to win a Nobel Prize?;Marie Curie;Mother Teresa;Rosa Parks;A
In Greek mythology, who was the goddess of wisdom?;Athena;Aphrodite;Hera;A